# time [s], voltage [V]
0,4.0379
10,3.9832
20,3.9649
30,3.9532
40,3.9451
50,3.9392
60,3.9341
70,3.9311
80,3.9289
90,3.9266
100,3.9246
110,3.9227
120,3.9213
130,3.9199
140,3.9184
150,3.9175
160,3.9163
170,3.9148
180,3.9138
190,3.9127
200,3.9114
210,3.9102
220,3.9086
230,3.9067
240,3.905
250,3.9029
260,3.9006
270,3.8983
280,3.8958
290,3.893
300,3.8902
310,3.8872
320,3.8844
330,3.8814
340,3.8787
350,3.8762
360,3.8738
370,3.8711
380,3.868
390,3.8649
400,3.862
410,3.859
420,3.856
430,3.8529
440,3.8498
450,3.8468
460,3.8437
470,3.8407
480,3.8378
490,3.8349
500,3.832
510,3.8292
520,3.8265
530,3.8238
540,3.821
550,3.8182
560,3.8156
570,3.813
580,3.8103
590,3.8079
600,3.8054
610,3.8027
620,3.8005
630,3.7982
640,3.7958
650,3.7935
660,3.7915
670,3.7894
680,3.7871
690,3.7853
700,3.7833
710,3.7813
720,3.7789
730,3.7773
740,3.7756
750,3.7732
760,3.771
770,3.7698
780,3.7683
790,3.7658
800,3.7637
810,3.7626
820,3.7607
830,3.7582
840,3.7564
850,3.7548
860,3.7524
870,3.7501
880,3.7482
890,3.7459
900,3.7431
910,3.7406
920,3.7383
930,3.7352
940,3.7319
950,3.7288
960,3.7256
970,3.722
980,3.7187
990,3.7158
1000,3.7132
1010,3.7103
1020,3.7074
1030,3.7045
1040,3.7017
1050,3.6987
1060,3.6955
1070,3.6926
1080,3.6898
1090,3.6868
1100,3.6841
1110,3.6814
1120,3.6777
1130,3.675
1140,3.6725
1150,3.669
1160,3.6661
1170,3.6633
1180,3.6602
1190,3.657
1200,3.6542
1210,3.6517
1220,3.6488
1230,3.6453
1240,3.6424
1250,3.6397
1260,3.6368
1270,3.6335
1280,3.6303
1290,3.6274
1300,3.6245
1310,3.6214
1320,3.6183
1330,3.6155
1340,3.6125
1350,3.6093
1360,3.6065
1370,3.6038
1380,3.6008
1390,3.598
1400,3.5954
1410,3.5928
1420,3.5898
1430,3.587
1440,3.5847
1450,3.5824
1460,3.5798
1470,3.5772
1480,3.5746
1490,3.5721
1500,3.5697
1510,3.5672
1520,3.5647
1530,3.5619
1540,3.5595
1550,3.5575
1560,3.5553
1570,3.5529
1580,3.5505
1590,3.5482
1600,3.5459
1610,3.5438
1620,3.5418
1630,3.5394
1640,3.5366
1650,3.5342
1660,3.5323
1670,3.5304
1680,3.5283
1690,3.5259
1700,3.5239
1710,3.5223
1720,3.5204
1730,3.5187
1740,3.5167
1750,3.5146
1760,3.5129
1770,3.5108
1780,3.5085
1790,3.5065
1800,3.5047
1810,3.5031
1820,3.501
1830,3.4988
1840,3.4969
1850,3.495
1860,3.4932
1870,3.4917
1880,3.4901
1890,3.4882
1900,3.4864
1910,3.4848
1920,3.483
1930,3.4807
1940,3.4786
1950,3.4768
1960,3.4749
1970,3.4732
1980,3.4717
1990,3.4702
2000,3.4685
2010,3.4667
2020,3.465
2030,3.4632
2040,3.4615
2050,3.4597
2060,3.4578
2070,3.4557
2080,3.4539
2090,3.4525
2100,3.4508
2110,3.4485
2120,3.4465
2130,3.4448
2140,3.4432
2150,3.4412
2160,3.439
2170,3.4369
2180,3.4352
2190,3.4335
2200,3.4313
2210,3.4294
2220,3.4277
2230,3.4253
2240,3.4232
2250,3.4213
2260,3.4194
2270,3.4172
2280,3.4152
2290,3.4136
2300,3.4116
2310,3.4092
2320,3.4072
2330,3.4052
2340,3.4031
2350,3.4008
2360,3.3982
2370,3.396
2380,3.3935
2390,3.391
2400,3.389
2410,3.3867
2420,3.384
2430,3.3812
2440,3.3787
2450,3.3758
2460,3.373
2470,3.3706
2480,3.3681
2490,3.3658
2500,3.3635
2510,3.361
2520,3.3585
2530,3.3557
2540,3.3529
2550,3.3501
2560,3.3474
2570,3.3446
2580,3.342
2590,3.3392
2600,3.3365
2610,3.3342
2620,3.3318
2630,3.329
2640,3.3264
2650,3.3239
2660,3.3211
2670,3.3183
2680,3.3158
2690,3.3132
2700,3.3104
2710,3.3075
2720,3.3046
2730,3.302
2740,3.2993
2750,3.2965
2760,3.2939
2770,3.2912
2780,3.2885
2790,3.2857
2800,3.2827
2810,3.2798
2820,3.2767
2830,3.2734
2840,3.2702
2850,3.2671
2860,3.2638
2870,3.2603
2880,3.257
2890,3.2538
2900,3.2505
2910,3.247
2920,3.2432
2930,3.2394
2940,3.2361
2950,3.2331
2960,3.23
2970,3.2266
2980,3.2233
2990,3.2202
3000,3.2169
3010,3.2134
3020,3.2098
3030,3.2058
3040,3.2016
3050,3.1971
3060,3.1922
3070,3.1869
3080,3.1807
3090,3.1744
3100,3.1677
3110,3.1608
3120,3.1542
3130,3.1474
3140,3.14
3150,3.132
3160,3.124
3170,3.1156
3180,3.1079
3190,3.0991
3200,3.0896
3210,3.0812
3220,3.0721
3230,3.0614
3240,3.0519
3250,3.0433
3260,3.0322
3270,3.022
3280,3.0128
3290,3.0037
3300,2.9944
3310,2.9844
3320,2.9734
3330,2.9627
3340,2.953
3350,2.9419
3360,2.9306
3370,2.921
3380,2.9122
3390,2.8992
3400,2.8861
3410,2.8731
3420,2.8595
3430,2.8462
3440,2.8329
3450,2.8183
3460,2.8011
3470,2.7786
3480,2.7501
3490,2.7257
3500,2.704
3510,2.6703
3520,2.6241
3530,2.5826
3540,2.5258
3543.6,2.5003
